exp_paper,block,graph,subject_rel,BSL,Broken link,Fewlinks,Symmetry,Fitted,LSL
Exp1,2,24,0,0,0,0,0,0,1.40945552978641e-16
Exp1,2,25,0,0,0,0,0,0,5.83198573480256e-18
Exp1,2,26,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,27,0,0,0,0,0,0,1.89861367394097e-23
Exp1,2,28,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,29,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,30,0,0,0,0,0,0,4.58850838007884e-22
Exp1,2,31,0,0,0,0,0,0,3.03860479012128e-28
Exp1,2,32,0,0,0,0,0,0,1.49379733585808e-27
Exp1,2,33,0,0,0,0,0,0,5.50270397880389e-07
Exp1,2,34,0,0,0,0,0,0,2.70516408394947e-06
Exp1,2,35,0,0,0,0,0,0,1.79141539312426e-12
Exp1,2,36,0,0,0,0,0,0,8.80671139058322e-12
Exp1,2,37,0,0,0,0,0,0,8.80671139058321e-12
Exp1,2,38,0,0,0,0,0,0,4.32943502744861e-11
Exp1,2,39,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,40,0,0,0,0,0,0,1.40945552978641e-16
Exp1,2,41,0,0,0,0,0,0,5.83198573480256e-18
Exp1,2,42,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,43,0,0,0,0,0,0,1.89861367394097e-23
Exp1,2,44,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,45,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,46,0,0,0,0,0,0,4.58850838007884e-22
Exp1,2,47,0,0,0,0,0,0,3.03860479012128e-28
Exp1,2,48,0,0,0,0,0,0,1.49379733585808e-27
Exp1,2,49,0,0,0,0,0,0,1.79141539312426e-12
Exp1,2,50,0,0,0,0,0,0,8.80671139058322e-12
Exp1,2,51,0,0,0,0,0,0,5.83198573480256e-18
Exp1,2,52,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,53,0,0,0,0,0,0,2.86704107810699e-17
Exp1,2,54,0,0,0,0,0,0,1.40945552978641e-16
Exp1,2,55,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,56,0,0,0,0,0,0,4.58850838007884e-22
Exp1,2,57,0,0,0,0,0,0,1.89861367394097e-23
Exp1,2,58,0,0,0,0,0,0,9.33370492002527e-23
Exp1,2,59,0,0,0,0,0,0,6.18097170808263e-29
Exp1,2,60,0,0,0,0,0,0,3.03860479012128e-28
Exp1,2,61,0,0,0,0,0,0,3.03860479012128e-28
Exp1,2,62,0,0,0,0,0,0,1.49379733585808e-27
Exp1,2,63,0,0,0,0,0,0,9.89223373747174e-34
Exp1,2,64,0,0,0,0,0,0,4.86308467977203e-33
Exp1,3,1,0,0,0,0,0,0,0.0015787409597036
Exp1,3,2,0,0.16667,0.33333,0.21429,0.1,0.122024235371987,0.0381545030618951
Exp1,3,3,0,0,0,0,0,0,1.67321280436045e-14
Exp1,3,4,0,0,0,0,0,0,4.04376681777857e-13
Exp1,3,5,0.0416666666666667,0.16667,0.33333,0.21429,0.1,0.122024235371987,0.0381545030618951
Exp1,3,6,0.930555555555555,0.66667,0.33333,0.57143,0.8,0.755951529256026,0.922105741890349
Exp1,3,7,0,0,0,0,0,0,4.04376681777857e-13
Exp1,3,8,0.0138888888888889,0,0,0,0,0,9.7728454109083e-12
Exp1,3,9,0,0,0,0,0,0,1.67321280436045e-14
Exp1,3,10,0,0,0,0,0,0,4.04376681777857e-13
Exp1,3,11,0,0,0,0,0,0,1.77333784334157e-25
Exp1,3,12,0,0,0,0,0,0,4.28574578734268e-24
Exp1,3,13,0,0,0,0,0,0,4.04376681777857e-13
Exp1,3,14,0,0,0,0,0,0,9.7728454109083e-12
Exp1,3,15,0,0,0,0,0,0,4.28574578734268e-24
Exp1,3,16,0.0138888888888889,0,0,0,0,0,1.03576523913316e-22
Exp1,3,17,0,0,0,0,0,0,5.13962020828813e-09
Exp1,3,18,0,0,0,0,0,0,1.24212685918356e-07
Exp1,3,19,0,0,0,0,0,0,5.44717503476441e-20
Exp1,3,20,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,21,0,0,0,0,0,0,1.24212685918356e-07
Exp1,3,22,0,0,0,0,0,0,3.00193218910842e-06
Exp1,3,23,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,24,0,0,0,0,0,0,3.18156778397708e-17
Exp1,3,25,0,0,0,0,0,0,5.44717503476441e-20
Exp1,3,26,0,0,0,0,0,0,1.31645571912961e-18
Exp1,3,27,0,0,0,0,0,0,5.77313393925725e-31
Exp1,3,28,0,0,0,0,0,0,1.39523241737819e-29
Exp1,3,29,0,0,0,0,0,0,1.31645571912961e-18
